dt,ask,bid
2022-01-02 22:00:00+00:00,155.851,155.701
2022-01-02 23:00:00+00:00,155.767,155.7
2022-01-03 00:00:00+00:00,155.799,155.772
2022-01-03 01:00:00+00:00,155.799,155.77
2022-01-03 02:00:00+00:00,155.714,155.685
2022-01-03 03:00:00+00:00,155.648,155.623
2022-01-03 04:00:00+00:00,155.632,155.607
2022-01-03 05:00:00+00:00,155.651,155.623
2022-01-03 06:00:00+00:00,155.743,155.714
2022-01-03 07:00:00+00:00,155.734,155.709
2022-01-03 08:00:00+00:00,155.808,155.782
2022-01-03 09:00:00+00:00,155.767,155.74
2022-01-03 10:00:00+00:00,155.594,155.567
2022-01-03 11:00:00+00:00,155.493,155.467
2022-01-03 12:00:00+00:00,155.45,155.425
2022-01-03 13:00:00+00:00,155.327,155.301
2022-01-03 14:00:00+00:00,155.289,155.262
2022-01-03 15:00:00+00:00,155.101,155.076
2022-01-03 16:00:00+00:00,155.153,155.127
2022-01-03 17:00:00+00:00,155.326,155.3
2022-01-03 18:00:00+00:00,155.398,155.374
2022-01-03 19:00:00+00:00,155.478,155.453
2022-01-03 20:00:00+00:00,155.481,155.453
2022-01-03 21:00:00+00:00,155.483,155.454
2022-01-03 22:00:00+00:00,155.507,155.359
2022-01-03 23:00:00+00:00,155.496,155.433
2022-01-04 00:00:00+00:00,155.515,155.488
2022-01-04 01:00:00+00:00,155.581,155.553
2022-01-04 02:00:00+00:00,155.692,155.664
2022-01-04 03:00:00+00:00,155.812,155.785
2022-01-04 04:00:00+00:00,155.916,155.89
2022-01-04 05:00:00+00:00,155.94,155.914
2022-01-04 06:00:00+00:00,155.906,155.881
2022-01-04 07:00:00+00:00,156.018,155.993
2022-01-04 08:00:00+00:00,156.247,156.222
2022-01-04 09:00:00+00:00,156.436,156.412
2022-01-04 10:00:00+00:00,156.502,156.476
2022-01-04 11:00:00+00:00,156.639,156.614
2022-01-04 12:00:00+00:00,156.785,156.76
2022-01-04 13:00:00+00:00,157.018,156.996
2022-01-04 14:00:00+00:00,157.185,157.138
2022-01-04 15:00:00+00:00,157.309,157.264
2022-01-04 16:00:00+00:00,157.291,157.267
2022-01-04 17:00:00+00:00,157.298,157.273
2022-01-04 18:00:00+00:00,157.164,157.139
2022-01-04 19:00:00+00:00,157.153,157.126
2022-01-04 20:00:00+00:00,157.119,157.092
2022-01-04 21:00:00+00:00,157.119,157.083
2022-01-04 22:00:00+00:00,157.17,157.044
2022-01-04 23:00:00+00:00,157.202,157.141
2022-01-05 00:00:00+00:00,157.221,157.191
2022-01-05 01:00:00+00:00,157.112,157.084
2022-01-05 02:00:00+00:00,157.017,156.991
2022-01-05 03:00:00+00:00,156.965,156.939
2022-01-05 04:00:00+00:00,156.969,156.941
2022-01-05 05:00:00+00:00,156.963,156.935
2022-01-05 06:00:00+00:00,156.971,156.945
2022-01-05 07:00:00+00:00,157.025,157.001
2022-01-05 08:00:00+00:00,157.069,157.045
2022-01-05 09:00:00+00:00,156.898,156.871
2022-01-05 10:00:00+00:00,156.72,156.696
2022-01-05 11:00:00+00:00,156.676,156.652
2022-01-05 12:00:00+00:00,156.739,156.714
2022-01-05 13:00:00+00:00,156.887,156.861
2022-01-05 14:00:00+00:00,156.852,156.827
2022-01-05 15:00:00+00:00,156.977,156.953
2022-01-05 16:00:00+00:00,157.229,157.206
2022-01-05 17:00:00+00:00,157.493,157.468
2022-01-05 18:00:00+00:00,157.645,157.616
2022-01-05 19:00:00+00:00,157.571,157.539
2022-01-05 20:00:00+00:00,157.42,157.395
2022-01-05 21:00:00+00:00,157.394,157.356
2022-01-05 22:00:00+00:00,157.454,157.323
2022-01-05 23:00:00+00:00,157.424,157.364
2022-01-06 00:00:00+00:00,157.328,157.301
2022-01-06 01:00:00+00:00,157.176,157.148
2022-01-06 02:00:00+00:00,157.087,157.06
2022-01-06 03:00:00+00:00,156.967,156.94
2022-01-06 04:00:00+00:00,156.804,156.777
2022-01-06 05:00:00+00:00,156.792,156.764
2022-01-06 06:00:00+00:00,156.691,156.663
2022-01-06 07:00:00+00:00,156.519,156.491
2022-01-06 08:00:00+00:00,156.354,156.329
2022-01-06 09:00:00+00:00,156.372,156.344
2022-01-06 10:00:00+00:00,156.638,156.613
2022-01-06 11:00:00+00:00,156.77,156.742
